Date,^GSPC,DJI,Nikkei,IBEX,VIX
2015-03-30,2086.239990234375,17976.310546875,19411.400390625,11529.087890625,14.510000228881836
2015-03-31,2067.889892578125,17776.119140625,19206.990234375,11521.087890625,15.289999961853027
2015-04-01,2059.68994140625,17698.1796875,19034.83984375,11569.7880859375,15.109999656677246
2015-04-02,2066.9599609375,17763.240234375,19312.7890625,11633.98828125,14.670000076293945
2015-04-07,2076.330078125,17875.419921875,19640.5390625,11730.48828125,14.779999732971191
2015-04-08,2081.89990234375,17902.509765625,19789.810546875,11655.48828125,13.979999542236328
2015-04-09,2091.179931640625,17958.73046875,19937.720703125,11734.587890625,13.09000015258789
2015-04-10,2102.06005859375,18057.650390625,19907.630859375,11749.2880859375,12.579999923706055
2015-04-13,2092.429931640625,17977.0390625,19905.4609375,11866.388671875,13.9399995803833
2015-04-14,2095.840087890625,18036.69921875,19908.6796875,11704.6884765625,13.670000076293945
2015-04-15,2106.6298828125,18112.609375,19869.759765625,11778.388671875,12.84000015258789
2015-04-16,2104.989990234375,18105.76953125,19885.76953125,11611.6884765625,12.600000381469727
2015-04-17,2081.179931640625,17826.30078125,19652.880859375,11359.388671875,13.890000343322754
2015-04-20,2100.39990234375,18034.9296875,19634.490234375,11384.587890625,13.300000190734863
2015-04-21,2097.2900390625,17949.58984375,19909.08984375,11422.2880859375,13.25
2015-04-22,2107.9599609375,18038.26953125,20133.900390625,11399.1884765625,12.710000038146973
2015-04-23,2112.929931640625,18058.689453125,20187.650390625,11425.7880859375,12.479999542236328
2015-04-24,2117.68994140625,18080.140625,20020.0390625,11505.388671875,12.289999961853027
2015-04-27,2108.919921875,18037.970703125,19983.3203125,11640.1884765625,13.119999885559082
2015-04-28,2114.760009765625,18110.140625,20058.94921875,11607.6884765625,12.40999984741211
2015-04-30,2085.510009765625,17840.51953125,19520.009765625,11384.98828125,14.550000190734863
2015-05-07,2088.0,17924.060546875,19291.990234375,11180.2880859375,15.130000114440918
2015-05-08,2116.10009765625,18191.109375,19379.189453125,11424.6884765625,12.859999656677246
2015-05-11,2105.330078125,18105.169921875,19620.91015625,11445.7880859375,13.850000381469727
2015-05-12,2099.1201171875,18068.23046875,19624.83984375,11322.587890625,13.859999656677246
2015-05-13,2098.47998046875,18060.490234375,19764.720703125,11324.587890625,13.760000228881836
2015-05-14,2121.10009765625,18252.240234375,19570.240234375,11398.6884765625,12.739999771118164
2015-05-15,2122.72998046875,18272.560546875,19732.919921875,11317.2880859375,12.380000114440918
2015-05-18,2129.199951171875,18298.880859375,19890.26953125,11344.98828125,12.729999542236328
